,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,GERMAN,ENGLISH,PORTUGUESE
0,1,2,2,nicht ,Not,não
1,2,3,5,es ,it,isto
2,3,4,6,der ,the,a
3,4,5,7,er ,he,ele
4,5,7,10,in ,in,no
5,6,9,12,den ,the,a
6,9,15,22,dich ,you,tu
7,10,17,24,dass ,that,naquela
8,11,19,27,nein ,no,não
9,12,20,28,noch ,still,ainda
10,13,21,30,habe ,have,tenho
11,14,24,34,dem ,to the,ao
12,15,27,39,sein ,being,ser
13,16,28,40,mal ,just,vezes
14,17,29,42,als ,as,Como
15,18,31,44,alles ,everything,Tudo
16,19,32,45,oder ,or,ou
17,22,37,52,etwas ,some,algum
18,24,44,60,wer ,who,quem
19,25,45,61,alle ,Everyone,Todos
20,26,47,63,danke ,Thank you,obrigado
21,27,48,64,euch ,you,tu
22,28,49,65,einem ,one,1
23,29,50,66,gibt ,gives,dá
24,30,53,72,leben ,Life,Vida
25,31,55,74,wirklich ,really,realmente
26,32,56,75,frau ,woman,Sra
27,34,58,77,heute ,today,hoje
28,36,63,82,ihre ,their,seus
29,38,65,84,wollen ,want,quer
30,40,68,88,damit ,in order to,em ordem de
31,43,76,97,hey ,hey,Ei
